addr	bucket	code_units	name
00015550	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_DualBoundedLeafNode_588
00015600	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_TripleBoundedLeafNode_588
000156b0	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_MultiBoundedLeafNode_588
00015760	GAME_UNIQUE	48	AudioPool_AllocAndConstruct_DualKinematicLeaf_588
00015810	GAME_UNIQUE	41	SpatialPool_AllocAndConstruct_DerivedIf_588
00015890	GAME_UNIQUE	41	SpatialPool_AllocAndConstruct_QueryIf_588
00015910	GAME_UNIQUE	36	SpatialPool_AllocAndConstruct_BaseNode_588
00015980	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_LeafNode_588
00015a30	GAME_UNIQUE	36	SpatialPool_AllocAndConstruct_VariantNodeC_588
00015aa0	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_ExtendedNode_588
00015b50	GAME_UNIQUE	42	SpatialPool_AllocAndConstruct_VariantIf_588
00015bd0	GAME_UNIQUE	45	SpatialPool_AllocAndConstruct_VariantExtIf_588
00015c60	GAME_UNIQUE	48	SpatialPool_AllocAndConstruct_DualBoundedLeafNode_588
00015d10	GAME_UNIQUE	30	SpatialPool_GetNodePropertiesOrFallback_588
00015d70	GAME_UNIQUE	29	SpatialPool_EvaluateNodeRayPoint_588
00015dd0	GAME_UNIQUE	25	SpatialPool_GetRandomPointFromNodeRay_588
00015e30	GAME_UNIQUE	31	SpatialPool_GetSecondaryNodePropertiesOrFallback_588
00015e90	GAME_UNIQUE	29	SpatialPool_TransformAndJitterVectorSecondary_588
00015ef0	GAME_UNIQUE	46	SpatialPool_GenerateRandomOffsetSecondary_588
00015fa0	ENGINE	29	QueueManager_RemoveAndFreeNode
00016000	GAME_UNIQUE	32	SpatialPool_InitManagerAndTrackingArrays_588
00016070	GAME_UNIQUE	32	QueueManager_Init175_00016070
000160e0	GAME_UNIQUE	10	SpatialManager_InitSubPool16_000160e0
00016110	GAME_UNIQUE	14	SpatialManager_InitLargePool2100_00016110
00016140	GAME_UNIQUE	14	SpatialManager_InitMidPool750_00016140
00016180	GAME_UNIQUE	43	AudioManager_AllocateAndScheduleEvent_588
00016200	ENGINE	29	QueueManager540_RemoveAndFreeNode
00016260	GAME_UNIQUE	39	PoolManager128_AllocateAndRegisterHeap
000162e0	GAME_UNIQUE	92	SpatialPool_InitLinksAndBuffers_588
00016420	ENGINE	21	SpatialPool_ReleaseAndResetSlot_588
00016470	GAME_UNIQUE	48	SpatialPool_InitManagerVariant_588
00016520	GAME_UNIQUE	32	SpatialSubPool_Init16_00016520
00016590	ENGINE	5	SpatialManager_InitLargePool2100Wrapper_00016590
000165a0	ENGINE	5	SpatialManager_InitMidPool750Wrapper_000165a0
000165b0	ENGINE	36	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc4
00016650	GAME_UNIQUE	22	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc26
000166a0	GAME_UNIQUE	30	SpatialSubsystem_ScheduleTransform_128
00016700	GAME_PORTABLE	26	PoolManager128_Init_00016700
00016760	ENGINE	5	SpatialSubsystem_InitLargePool2100_00016760
00016770	ENGINE	5	SpatialSubsystem_InitMidPool750_00016770
00016780	ENGINE	6	FUN_00016780
000167a0	GAME_UNIQUE	17	FUN_000167a0
000167f0	GAME_UNIQUE	77	FUN_000167f0
00016910	GAME_UNIQUE	16	FUN_00016910
00016940	GAME_UNIQUE	53	FUN_00016940
000169f0	GAME_UNIQUE	16	FUN_000169f0
00016a20	GAME_UNIQUE	44	FUN_00016a20
00016ae0	ENGINE	9	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc12
00016b00	GAME_UNIQUE	1342	FUN_00016b00
00018350	GAME_UNIQUE	30	FUN_00018350
000183d0	GAME_UNIQUE	30	FUN_000183d0
00018450	GAME_UNIQUE	4	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc16
00018470	ENGINE	6	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc17
00018490	ENGINE	6	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc19
000184b0	ENGINE	6	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc18
000184d0	GAME_UNIQUE	5	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc20
000184f0	ENGINE	4	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc21
00018510	ENGINE	4	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc22
00018530	ENGINE	4	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc23
00018550	GAME_UNIQUE	179	FUN_00018550
00018830	GAME_UNIQUE	42	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc28
000188c0	GAME_UNIQUE	12	FUN_000188c0
00018900	GAME_UNIQUE	45	FUN_00018900
000189a0	GAME_UNIQUE	136	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc27
00018ba0	GAME_UNIQUE	99	FUN_00018ba0
00018cf0	GAME_UNIQUE	647	FUN_00018cf0
00019700	GAME_UNIQUE	330	FUN_00019700
00019c20	GAME_UNIQUE	79	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc31
00019e20	GAME_UNIQUE	79	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc33
00019f10	GAME_UNIQUE	93	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc34
0001a020	GAME_UNIQUE	94	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc36
0001a130	GAME_UNIQUE	103	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc37
0001a260	GAME_UNIQUE	96	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc39
0001a380	GAME_UNIQUE	103	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc38
0001a5f0	GAME_UNIQUE	1524	FUN_0001a5f0
0001bf90	GAME_UNIQUE	306	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc24
0001c440	GAME_UNIQUE	75	FUN_0001c440
0001c530	GAME_UNIQUE	360	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc15
0001cab0	XBOX_PLATFORM	13	FUN_0001cab0
0001cae0	GAME_PORTABLE	5	CFxPrimitiveBase::vfunc25
0001cb10	GAME_UNIQUE	5	CFxPrimitiveBase::vfunc31
0001cb80	ENGINE	3	FUN_0001cb80
0001cb90	GAME_PORTABLE	12	CFxPrimitiveBase::vfunc60
0001cbb0	XBOX_PLATFORM	4	CFxPrimitiveBase::vfunc61
0001cbc0	XBOX_PLATFORM	5	FUN_0001cbc0
0001cbe0	GAME_UNIQUE	19	FUN_0001cbe0
0001cc20	GAME_PORTABLE	12	CFxParticleCloudPrimitive::vfunc2
0001cc40	ENGINE	3	SpatialPool_CheckSubsystemState_0001cc40
0001cc50	GAME_UNIQUE	16	CFxParticleCloudPrimitive::vfunc60
0001cc90	XBOX_PLATFORM	11	FUN_0001cc90
0001ccc0	GAME_UNIQUE	4	CFxParticleCloudPrimitive::vfunc61
0001ccd0	XBOX_PLATFORM	24	FUN_0001ccd0
0001cd30	ENGINE	8	FUN_0001cd30
0001cd50	GAME_PORTABLE	23	CFxPrimitiveBase::vfunc9
0001cda0	GAME_PORTABLE	8	CFxPrimitiveBase::vfunc12
0001cdc0	GAME_PORTABLE	12	CFxPrimitiveBase::vfunc16
0001cdf0	GAME_PORTABLE	12	CFxPrimitiveBase::vfunc20
0001ce20	GAME_UNIQUE	34	CFxPrimitiveBase::vfunc21
0001ceb0	ENGINE	12	CFxPrimitiveBase::vfunc22
0001cef0	GAME_UNIQUE	57	CFxPrimitiveBase::vfunc32
0001cfa0	GAME_UNIQUE	101	CFxPrimitiveBase::vfunc33
0001d0e0	GAME_UNIQUE	7	CFxPrimitiveBase::vfunc39
0001d110	GAME_PORTABLE	8	CFxPrimitiveBase::vfunc86
0001d130	GAME_UNIQUE	34	CFxPrimitiveBase::vfunc113
0001d1a0	GAME_UNIQUE	7	CFxPrimitiveBase::vfunc114
0001d1c0	GAME_UNIQUE	15	CFxDLightPrimitive::vfunc3
0001d200	GAME_UNIQUE	41	FUN_0001d200
0001d2a0	GAME_UNIQUE	33	Audio_InitListenerPropertiesOnce
0001d320	GAME_UNIQUE	39	CFxSpritePrimitive::vfunc55
0001d3a0	GAME_UNIQUE	48	CFxTessMeshPrimitive::vfunc55
0001d460	GAME_UNIQUE	33	CFxDLightPrimitive::vfunc232
0001d4d0	GAME_UNIQUE	31	CFxDLightPrimitive::vfunc231
0001d530	GAME_UNIQUE	17	CFxParticleCloudPrimitive::vfunc56
0001d560	GAME_UNIQUE	11	CFxParticleCloudPrimitive::vfunc58
0001d590	GAME_UNIQUE	22	CFxParticleCloudPrimitive::vfunc113
0001d5e0	GAME_UNIQUE	7	CFxParticleCloudPrimitive::vfunc114
0001d600	GAME_PORTABLE	11	FUN_0001d600
0001d630	ENGINE	36	FUN_0001d630
0001d6a0	GAME_PORTABLE	37	CFxPrimitiveBase::vfunc4
0001d740	GAME_UNIQUE	32	CFxDLightPrimitive::vfunc2
0001d7c0	GAME_UNIQUE	95	FUN_0001d7c0
0001d930	GAME_UNIQUE	402	CFxCylinderPrimitive::vfunc59
0001df60	GAME_PORTABLE	6	FUN_0001df60
0001df80	GAME_UNIQUE	176	FUN_0001df80
0001e200	GAME_UNIQUE	470	FUN_0001e200
0001e960	GAME_UNIQUE	233	FUN_0001e960
0001ecd0	GAME_PORTABLE	12	CFxDLightPrimitive::vfunc55
0001ecf0	GAME_PORTABLE	17	CFxDLightPrimitive::vfunc58
0001ed30	GAME_UNIQUE	253	CFxSpritePrimitive::vfunc59
0001f140	GAME_UNIQUE	85	SpatialEntity_IntegrateAndDisplace
0001f260	GAME_UNIQUE	389	CFxSpritePrimitive::vfunc0
0001f820	GAME_PORTABLE	53	Physics_IntegrateVelocityAndPosition
0001f8f0	GAME_UNIQUE	338	CFxScreenFlashPrimitive::vfunc59
0001fdc0	GAME_UNIQUE	378	CFxTessMeshPrimitive::vfunc59
00020310	GAME_UNIQUE	336	CFxOrientedSpritePrimitive::vfunc59
000207a0	GAME_UNIQUE	514	CFxTextPrimitive::vfunc0
00020ff0	GAME_UNIQUE	333	CFxTextPrimitive::vfunc63
000214c0	GAME_UNIQUE	530	CFxLinePrimitive::vfunc59
00021d10	GAME_UNIQUE	474	CFxLightningPrimitive::vfunc59
00022400	GAME_UNIQUE	647	CFxDLightPrimitive::vfunc174
00022e70	GAME_UNIQUE	55	CFxParticleCloudPrimitive::vfunc0
00022f20	GAME_UNIQUE	63	CFxParticleCloudPrimitive::vfunc55
00022fe0	ENGINE	5	FUN_00022fe0
00022ff0	GAME_UNIQUE	38	CFxDLightPrimitive::vfunc0
00023070	GAME_UNIQUE	257	CFxDLightPrimitive::vfunc176
00023440	XBOX_PLATFORM	10	FUN_00023440
00023470	ENGINE	5	FUN_00023470
00023480	ENGINE	9	FUN_00023480
000234b0	ENGINE	36	tmpl__AV_tree_base_U_value_semantics_node_H_0CA_Vtree_node_ratl_storage_ratl_ratl_::vfunc4
000234c0	ENGINE	7	FUN_000234c0
000234e0	ENGINE	6	FUN_000234e0
00023500	ENGINE	7	FUN_00023500
00023530	ENGINE	9	tmpl__AV_tree_base_U_value_semantics_node_H_0CA_Vtree_node_ratl_storage_ratl_ratl_::vfunc18
00023550	GAME_UNIQUE	35	FUN_00023550
000235e0	ENGINE	34	FUN_000235e0
00023660	GAME_UNIQUE	27	FUN_00023660
000236c0	GAME_UNIQUE	36	FUN_000236c0
00023750	GAME_UNIQUE	13	FUN_00023750
00023780	GAME_PORTABLE	9	FUN_00023780
000237a0	GAME_PORTABLE	16	FUN_000237a0
000237e0	GAME_UNIQUE	38	FUN_000237e0
00023860	GAME_UNIQUE	27	FUN_00023860
000238a0	XBOX_PLATFORM	40	FUN_000238a0
00023920	GAME_PORTABLE	23	FUN_00023920
00023970	XBOX_PLATFORM	50	FUN_00023970
00023a10	GAME_UNIQUE	83	FUN_00023a10
00023b00	GAME_UNIQUE	71	FUN_00023b00
00023bc0	GAME_UNIQUE	330	FUN_00023bc0
00024200	GAME_UNIQUE	49	FUN_00024200
000242b0	GAME_UNIQUE	65	FUN_000242b0
00024380	GAME_UNIQUE	775	FUN_00024380
00024bf0	GAME_UNIQUE	315	FUN_00024bf0
00025060	ENGINE	10	FUN_00025060
00025080	GAME_UNIQUE	7	FUN_00025080
000250a0	GAME_PORTABLE	10	FUN_000250a0
000250d0	ENGINE	27	FUN_000250d0
00025130	ENGINE	15	FUN_00025130
00025160	ENGINE	37	FUN_00025160
000251f0	GAME_UNIQUE	99	FUN_000251f0
