addr	bucket	code_units	status	name
0015f660	GAME_UNIQUE	337	named	CHudCharacter::vfunc23
00020310	GAME_UNIQUE	336	named	CFxOrientedSpritePrimitive::vfunc59
003b7afe	GAME_UNIQUE	336	UNNAMED	FUN_003b7afe
00020ff0	GAME_UNIQUE	333	named	CFxTextPrimitive::vfunc63
000a64b0	GAME_UNIQUE	332	UNNAMED	FUN_000a64b0
002c81bc	GAME_UNIQUE	332	UNNAMED	FUN_002c81bc
00187d90	GAME_UNIQUE	331	named	CHudInputMap::vfunc11
00019700	GAME_UNIQUE	330	UNNAMED	FUN_00019700
00023bc0	GAME_UNIQUE	330	UNNAMED	FUN_00023bc0
0002aa90	GAME_UNIQUE	330	UNNAMED	FUN_0002aa90
00107920	GAME_UNIQUE	330	UNNAMED	FUN_00107920
0012c120	GAME_UNIQUE	330	UNNAMED	FUN_0012c120
001577f0	GAME_UNIQUE	329	UNNAMED	FUN_001577f0
0016e490	GAME_UNIQUE	329	UNNAMED	FUN_0016e490
00128fe0	GAME_UNIQUE	328	UNNAMED	FUN_00128fe0
00086c70	GAME_UNIQUE	327	UNNAMED	FUN_00086c70
0010e7a0	GAME_UNIQUE	327	UNNAMED	FUN_0010e7a0
00043fa0	GAME_UNIQUE	326	UNNAMED	FUN_00043fa0
000fecb0	GAME_UNIQUE	326	UNNAMED	FUN_000fecb0
001994f0	GAME_UNIQUE	325	UNNAMED	FUN_001994f0
001d1520	GAME_UNIQUE	325	UNNAMED	FUN_001d1520
0038401b	GAME_UNIQUE	325	UNNAMED	FUN_0038401b
00153950	GAME_UNIQUE	324	named	CFontMgr::vfunc0
000c3370	GAME_UNIQUE	323	UNNAMED	FUN_000c3370
00270d40	GAME_UNIQUE	323	UNNAMED	FUN_00270d40
0005c590	GAME_UNIQUE	321	named	CCombatSystem::vfunc20
0016fc10	GAME_UNIQUE	321	UNNAMED	FUN_0016fc10
00065860	GAME_UNIQUE	319	named	CConversationSystem::vfunc3
00064ba0	GAME_UNIQUE	318	UNNAMED	FUN_00064ba0
000d6030	GAME_UNIQUE	318	UNNAMED	FUN_000d6030
00024bf0	GAME_UNIQUE	315	UNNAMED	FUN_00024bf0
000d25c0	GAME_UNIQUE	315	named	CCEAtkSpawn::vfunc10
000e39a0	GAME_UNIQUE	315	UNNAMED	FUN_000e39a0
0006d1d0	GAME_UNIQUE	314	named	IEntityVisibility::vfunc10
00064610	GAME_UNIQUE	312	named	CBlock::vfunc4
000ab710	GAME_UNIQUE	311	UNNAMED	FUN_000ab710
001a06e8	GAME_UNIQUE	310	UNNAMED	FUN_001a06e8
00360b70	GAME_UNIQUE	309	UNNAMED	FUN_00360b70
0008fc40	GAME_UNIQUE	308	UNNAMED	FUN_0008fc40
000c7050	GAME_UNIQUE	308	UNNAMED	FUN_000c7050
002472c0	XMEN_SERIES	308	UNNAMED	FUN_002472c0
00257a60	GAME_UNIQUE	308	UNNAMED	FUN_00257a60
000ce1d0	GAME_UNIQUE	307	named	CCEAtkTeleport::vfunc204
001e13d0	GAME_UNIQUE	307	UNNAMED	FUN_001e13d0
0001bf90	GAME_UNIQUE	306	named	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc24
0007b300	GAME_UNIQUE	306	UNNAMED	FUN_0007b300
000b4250	GAME_UNIQUE	306	UNNAMED	FUN_000b4250
001a7e40	GAME_UNIQUE	306	UNNAMED	FUN_001a7e40
003640a0	XMEN_SERIES	305	UNNAMED	FUN_003640a0
0005ba90	GAME_UNIQUE	304	named	CCombatSystem::vfunc11
0010cbb0	GAME_UNIQUE	304	UNNAMED	FUN_0010cbb0
000d77f0	GAME_UNIQUE	301	named	CCEPowerup::vfunc2
0037f3c5	GAME_UNIQUE	301	UNNAMED	FUN_0037f3c5
003a92b3	GAME_UNIQUE	301	UNNAMED	FUN_003a92b3
0004e590	GAME_UNIQUE	297	UNNAMED	FUN_0004e590
000829e0	GAME_UNIQUE	297	UNNAMED	FUN_000829e0
000a38a0	GAME_UNIQUE	297	named	CRequire::vfunc1
0017bd70	GAME_UNIQUE	297	UNNAMED	FUN_0017bd70
000babe0	GAME_UNIQUE	296	UNNAMED	FUN_000babe0
0010b5c0	GAME_UNIQUE	296	UNNAMED	FUN_0010b5c0
00172240	GAME_UNIQUE	296	UNNAMED	FUN_00172240
00279680	GAME_UNIQUE	296	UNNAMED	FUN_00279680
001764e0	GAME_UNIQUE	295	UNNAMED	FUN_001764e0
00045e20	GAME_UNIQUE	294	UNNAMED	FUN_00045e20
0015d130	GAME_UNIQUE	294	UNNAMED	FUN_0015d130
0007f100	GAME_UNIQUE	293	UNNAMED	FUN_0007f100
000ba420	GAME_UNIQUE	293	UNNAMED	FUN_000ba420
00156eb0	GAME_UNIQUE	293	named	CHud::vfunc13
00252f10	GAME_UNIQUE	293	UNNAMED	FUN_00252f10
0009f4a0	GAME_UNIQUE	292	UNNAMED	FUN_0009f4a0
000b9e40	GAME_UNIQUE	291	named	CWeaponInfo::vfunc16
00398eb5	GAME_UNIQUE	291	UNNAMED	FUN_00398eb5
00071cf0	GAME_UNIQUE	290	named	CGame::vfunc68
001ed310	GAME_UNIQUE	290	UNNAMED	FUN_001ed310
0017c8c0	GAME_UNIQUE	289	named	CMenuItemShop::vfunc13
001fd530	GAME_UNIQUE	289	UNNAMED	FUN_001fd530
00065080	GAME_UNIQUE	288	named	CConversationSystem::vfunc5
0008d750	GAME_UNIQUE	288	UNNAMED	FUN_0008d750
000b6cc0	GAME_UNIQUE	288	UNNAMED	FUN_000b6cc0
003af0cd	GAME_UNIQUE	288	UNNAMED	FUN_003af0cd
00036570	GAME_UNIQUE	287	UNNAMED	FUN_00036570
00063a50	GAME_UNIQUE	287	UNNAMED	FUN_00063a50
00117ec0	GAME_UNIQUE	287	UNNAMED	FUN_00117ec0
00039d00	GAME_UNIQUE	286	UNNAMED	FUN_00039d00
00066270	GAME_UNIQUE	286	named	tmpl__AV_CEntityFactory_VCDoorEntity_VCPhysicalEntity_::vfunc56
000fa5f0	GAME_UNIQUE	286	UNNAMED	FUN_000fa5f0
00103ab0	GAME_UNIQUE	286	UNNAMED	FUN_00103ab0
00111ef0	GAME_UNIQUE	286	UNNAMED	FUN_00111ef0
000708e0	GAME_UNIQUE	284	named	CGame::vfunc74
001c97b0	GAME_UNIQUE	284	UNNAMED	FUN_001c97b0
001399d0	GAME_UNIQUE	283	named	CModelIGB::vfunc49
0015ec30	GAME_UNIQUE	283	named	CHudInputMap::vfunc3
0003e170	GAME_UNIQUE	281	UNNAMED	FUN_0003e170
00102420	GAME_UNIQUE	280	UNNAMED	FUN_00102420
00158b50	GAME_UNIQUE	279	named	CHud::vfunc5
00190770	GAME_UNIQUE	279	UNNAMED	FUN_00190770
00034f40	GAME_UNIQUE	278	UNNAMED	FUN_00034f40
000439a0	GAME_UNIQUE	278	UNNAMED	FUN_000439a0
0037ccfa	GAME_UNIQUE	278	UNNAMED	FUN_0037ccfa
00089500	GAME_UNIQUE	277	named	CMultipart::vfunc4
00104460	GAME_UNIQUE	277	UNNAMED	FUN_00104460
000fd330	GAME_UNIQUE	276	UNNAMED	FUN_000fd330
001ca3f0	GAME_UNIQUE	276	UNNAMED	FUN_001ca3f0
003145f0	GAME_UNIQUE	275	UNNAMED	FUN_003145f0
003baa4f	GAME_UNIQUE	275	UNNAMED	FUN_003baa4f
00105340	GAME_UNIQUE	272	UNNAMED	FUN_00105340
0002da60	GAME_UNIQUE	271	UNNAMED	FUN_0002da60
000b2490	GAME_UNIQUE	271	UNNAMED	FUN_000b2490
000d5c80	GAME_UNIQUE	271	UNNAMED	FUN_000d5c80
00284d00	GAME_UNIQUE	271	UNNAMED	FUN_00284d00
001316b0	GAME_UNIQUE	270	UNNAMED	FUN_001316b0
000ac180	GAME_UNIQUE	268	UNNAMED	FUN_000ac180
001ca050	GAME_UNIQUE	268	UNNAMED	FUN_001ca050
0027e350	GAME_UNIQUE	268	UNNAMED	FUN_0027e350
00152b20	GAME_UNIQUE	267	UNNAMED	FUN_00152b20
002156e0	GAME_UNIQUE	267	UNNAMED	FUN_002156e0
0016b970	GAME_UNIQUE	266	UNNAMED	FUN_0016b970
00398b60	GAME_UNIQUE	266	UNNAMED	FUN_00398b60
00111ab0	GAME_UNIQUE	265	UNNAMED	FUN_00111ab0
0018f6f0	GAME_UNIQUE	265	UNNAMED	FUN_0018f6f0
002c0e66	GAME_UNIQUE	265	UNNAMED	FUN_002c0e66
000e7040	GAME_UNIQUE	264	named	CCombatNodeHandler::vfunc5
000e7460	GAME_UNIQUE	264	named	CCombatNodeHandler::vfunc6
00186e60	GAME_UNIQUE	264	named	CPopupDialog::vfunc19
000a6ce0	GAME_UNIQUE	263	UNNAMED	FUN_000a6ce0
001842f0	GAME_UNIQUE	262	named	tmpl__AV_tree_base_U_value_semantics_node_V_handle_str_01_00Vtree_node_ratl_storage_ratl_ratl_::vfunc97
000db950	GAME_UNIQUE	261	named	CCombatNodeHandler::vfunc488
000ace00	GAME_UNIQUE	260	named	CShadowMgr::vfunc0
000b1f20	GAME_UNIQUE	260	UNNAMED	FUN_000b1f20
000f09a0	GAME_UNIQUE	260	UNNAMED	FUN_000f09a0
00131eb0	GAME_UNIQUE	260	named	CIGBInfoCache2::vfunc5
00148a80	GAME_UNIQUE	260	UNNAMED	FUN_00148a80
0015e480	GAME_UNIQUE	260	named	CHudCharacter::vfunc45
00168240	GAME_UNIQUE	258	UNNAMED	FUN_00168240
00023070	GAME_UNIQUE	257	named	CFxDLightPrimitive::vfunc176
0006b780	GAME_UNIQUE	257	named	CEntityGrid::vfunc16
0025b3a0	GAME_UNIQUE	257	UNNAMED	FUN_0025b3a0
0014c060	GAME_UNIQUE	256	UNNAMED	FUN_0014c060
002752d0	GAME_UNIQUE	256	UNNAMED	FUN_002752d0
00112800	GAME_UNIQUE	255	UNNAMED	FUN_00112800
00187460	GAME_UNIQUE	255	named	CPopupDialog::vfunc1
00399343	GAME_UNIQUE	255	UNNAMED	FUN_00399343
000ed780	GAME_UNIQUE	254	UNNAMED	FUN_000ed780
0028e250	GAME_UNIQUE	254	UNNAMED	FUN_0028e250
0001ed30	GAME_UNIQUE	253	named	CFxSpritePrimitive::vfunc59
000ddf80	GAME_UNIQUE	253	named	CCombatNodeHandler::vfunc455
00167570	GAME_UNIQUE	252	UNNAMED	FUN_00167570
0035b6c0	GAME_UNIQUE	252	named	D3D8__D3DDevice_CopyRects
000654d0	GAME_UNIQUE	251	UNNAMED	FUN_000654d0
000db250	GAME_UNIQUE	250	named	CCombatNodeHandler::vfunc186
002a7110	GAME_UNIQUE	250	UNNAMED	FUN_002a7110
000f6160	GAME_UNIQUE	249	named	CPatternNodeMoveTo::vfunc2
001cd970	GAME_UNIQUE	249	UNNAMED	FUN_001cd970
00085290	GAME_UNIQUE	248	UNNAMED	FUN_00085290
00032a20	GAME_UNIQUE	247	named	CActor::vfunc5
00163520	GAME_UNIQUE	247	named	CMenu::vfunc16
001a1ff4	GAME_UNIQUE	247	named	XAPILIB__XapiMapLetterToDirectory
0004cf00	GAME_UNIQUE	246	UNNAMED	FUN_0004cf00
0004dee0	GAME_UNIQUE	246	named	CCamera::vfunc25
000ba850	GAME_UNIQUE	246	UNNAMED	FUN_000ba850
001d0220	GAME_UNIQUE	246	UNNAMED	FUN_001d0220
0035e7f0	XMEN_SERIES	246	named	D3D8__D3D_CommonSetMultiSampleModeAndScale
00011a60	GAME_UNIQUE	245	named	validate_memory_state
000f0d80	GAME_UNIQUE	245	named	CAIFlyNoNavAttackHandler::vfunc0
0010d980	GAME_UNIQUE	244	UNNAMED	FUN_0010d980
0003c260	GAME_UNIQUE	243	UNNAMED	FUN_0003c260
0006a460	GAME_UNIQUE	242	named	IEntityDefinitions::vfunc31
0009f110	GAME_UNIQUE	242	UNNAMED	FUN_0009f110
00105850	GAME_UNIQUE	242	UNNAMED	FUN_00105850
002b5880	GAME_UNIQUE	242	UNNAMED	FUN_002b5880
003698f0	GAME_UNIQUE	242	UNNAMED	FUN_003698f0
0017b1b0	GAME_UNIQUE	241	UNNAMED	FUN_0017b1b0
0019b3c0	GAME_UNIQUE	241	UNNAMED	FUN_0019b3c0
0025ce20	XMEN_SERIES	241	UNNAMED	FUN_0025ce20
00164e30	GAME_UNIQUE	240	UNNAMED	FUN_00164e30
00028420	GAME_UNIQUE	239	UNNAMED	FUN_00028420
00059d50	GAME_UNIQUE	239	UNNAMED	FUN_00059d50
000b7730	GAME_UNIQUE	239	UNNAMED	FUN_000b7730
0016c800	GAME_UNIQUE	239	UNNAMED	FUN_0016c800
00050880	GAME_UNIQUE	238	UNNAMED	FUN_00050880
00129650	GAME_PORTABLE	238	UNNAMED	FUN_00129650
0021a3d0	GAME_UNIQUE	238	UNNAMED	FUN_0021a3d0
0027d6c0	GAME_UNIQUE	238	UNNAMED	FUN_0027d6c0
000715a0	GAME_UNIQUE	237	named	CGame::vfunc109
000b6970	GAME_UNIQUE	237	UNNAMED	FUN_000b6970
